,tsne1,tsne2,tsne3,class_encode,class,cluster
0,-4.5111785,-19.694263,-22.057562,4,Home Furnishing,3
1,-9.796884,7.6504307,-20.180983,0,Baby Care,2
2,-13.490585,6.913498,-24.437866,0,Baby Care,4
3,16.288176,11.277887,-2.383849,4,Home Furnishing,6
4,-10.88429,-12.972577,-27.53456,4,Home Furnishing,4
5,4.669718,-2.692834,13.210092,6,Watches,5
6,9.450253,7.5637684,29.019485,6,Watches,5
7,2.0686126,5.7911506,23.237488,6,Watches,5
8,-0.46563283,7.904363,15.1166,6,Watches,0
9,10.677135,11.327769,21.61841,6,Watches,5
10,-5.686609,-18.892979,20.71751,6,Watches,5
11,-4.1335297,-14.830427,22.921356,6,Watches,5
12,15.162119,-1.7840304,33.690845,6,Watches,5
13,13.957096,-9.7974,29.718864,6,Watches,5
14,0.62209326,3.9478545,18.881653,6,Watches,5
15,5.5483913,7.838305,23.69272,6,Watches,5
16,1.7430388,3.9389522,13.848119,6,Watches,5
17,3.128042,-7.103807,21.103703,6,Watches,5
18,8.706198,3.4354947,29.315899,6,Watches,5
19,2.341283,5.7913723,16.99497,6,Watches,5
20,0.106964014,10.24754,19.123007,6,Watches,0
21,2.7974672,0.93171483,12.059576,6,Watches,5
22,7.8502665,5.787098,25.391993,6,Watches,5
23,-2.5587726,8.198119,20.754482,6,Watches,5
24,20.347315,0.18817149,32.688267,6,Watches,5
25,-2.4783602,6.0325727,16.098106,6,Watches,0
26,6.735293,-6.308914,15.454481,6,Watches,5
27,5.6723514,4.0298796,14.643023,6,Watches,5
28,1.0501561,-8.920252,18.10071,6,Watches,5
29,4.7273154,3.8694441,19.887234,6,Watches,5
30,4.267307,-0.12666938,16.980412,6,Watches,5
31,7.238006,7.0810804,17.065388,6,Watches,5
32,15.785025,1.278259,36.560905,6,Watches,5
33,-15.7873,0.03836635,-29.421041,4,Home Furnishing,4
34,-19.259539,-7.803539,-31.79594,4,Home Furnishing,4
35,-6.757861,8.979313,-14.458668,4,Home Furnishing,2
36,-6.797548,2.1173565,-11.726768,3,Home Decor & Festive Needs,4
37,-32.15444,4.4101496,-9.754441,5,Kitchen & Dining,4
38,-10.266462,-2.4105442,-12.754823,5,Kitchen & Dining,4
39,-13.501522,-1.5934451,-24.514593,4,Home Furnishing,4
40,1.6718179,3.2627952,-28.815285,0,Baby Care,2
41,35.55405,10.06248,4.3233128,4,Home Furnishing,6
42,2.9182405,0.9347246,-30.446543,0,Baby Care,2
43,-12.13105,-13.281382,-16.131618,1,Beauty and Personal Care,4
44,-24.396738,-18.415867,-15.703768,5,Kitchen & Dining,4
45,-24.198036,-20.421951,-18.711245,5,Kitchen & Dining,4
46,-26.868216,-18.352697,-17.4935,5,Kitchen & Dining,4
47,-19.91015,5.425834,10.008345,2,Computers,1
48,-27.760006,-20.434687,-15.378841,5,Kitchen & Dining,4
49,-10.716055,-11.85084,-13.082737,1,Beauty and Personal Care,4
50,-28.00863,-15.712409,-15.720362,5,Kitchen & Dining,4
51,-23.953543,-9.5426,1.7737098,2,Computers,1
52,-17.3393,13.660438,-11.453492,5,Kitchen & Dining,4
53,-25.199352,-13.168947,-3.547036,2,Computers,4
54,-24.011873,-15.3653965,-2.5966327,2,Computers,4
55,-25.854387,-15.561772,-4.512184,2,Computers,4
56,-6.930227,2.1762602,2.0225594,1,Beauty and Personal Care,1
57,-14.724036,-28.862583,-2.9692807,1,Beauty and Personal Care,3
