foodId,label,category,foodContentsLabel,image
food_a656mk2a5dmqb2adiamu6beihduu,Champagne,Generic foods,,https://www.edamam.com/food-img/a71/a718cf3c52add522128929f1f324d2ab.jpg
food_b753ithamdb8psbt0w2k9aquo06c,"Champagne Vinaigrette, Champagne",Packaged foods,OLIVE OIL; BALSAMIC VINEGAR; CHAMPAGNE VINEGAR; GARLIC; DIJON MUSTARD; SEA SALT.,
food_b3dyababjo54xobm6r8jzbghjgqe,"Champagne Vinaigrette, Champagne",Packaged foods,INGREDIENTS: WATER; CANOLA OIL; CHAMPAGNE VINEGAR; SUGAR; OLIVE OIL; SALT; DRIED GARLIC; DRED SHALLOTS; BLACK PEPPER; XANTHAN GUM; SPICE,https://www.edamam.com/food-img/d88/d88b64d97349ed062368972113124e35.jpg
food_a9e0ghsamvoc45bwa2ybsa3gken9,"Champagne Vinaigrette, Champagne",Packaged foods,CANOLA AND SOYBEAN OIL; WHITE WINE (CONTAINS SULFITES); WATER; VINEGARS (CHAMPAGNE AND WHITE WINE); SUGAR; SALT; MUSTARD SEED; MONOSODIUM GLUTAMATE; GARLIC*; ONION*; SPICE; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; CHIVES*; TAMARIND; NATURAL FLAVOR.,
food_an4jjueaucpus2a3u1ni8auhe7q9,"Champagne Vinaigrette, Champagne",Packaged foods,WATER; CANOLA AND SOYBEAN OIL; WHITE WINE (CONTAINS SULFITES); VINEGARS (CHAMPAGNE AND WHITE WINE); SUGAR; SALT; MUSTARD SEED; MONOSODIUM GLUTAMATE; GARLIC*; ONION*; SPICE; XANTHAN GUM; POTASSIUM SORBATE ADDED TO MAINTAIN FRESHNESS; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; CHIVES*; TAMARIND.,
food_bmu5dmkazwuvpaa5prh1daa8jxs0,"Champagne Dressing, Champagne",Packaged foods,SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WATER; WHITE WINE VINEGAR; SUGAR; SALT; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; NATURAL FLAVOR; TAMARIND.,https://www.edamam.com/food-img/ab2/ab2459fc2a98cd35f68b848be2337ecb.jpg
food_alpl44taoyv11ra0lic1qa8xculi,Champagne Buttercream,Generic meals,sugar; butter; shortening; vanilla; champagne; milk,
food_byap67hab6evc3a0f9w1oag3s0qf,Champagne Sorbet,Generic meals,Sugar; Lemon juice; brandy; Champagne; Peach,
food_am5egz6aq3fpjlaf8xpkdbc2asis,Champagne Truffles,Generic meals,butter; cocoa; sweetened condensed milk; vanilla extract; champagne; powdered sugar,
food_bcz8rhiajk1fuva0vkfmeakbouc0,Champagne Vinaigrette,Generic meals,champagne vinegar; olive oil; Dijon mustard; shallot; honey; Salt; pepper,
food_a79xmnya6togreaeukbroa0thhh0,Champagne Chicken,Generic meals,"Flour; Salt; Pepper; Boneless, Skinless Chicken Breasts; Butter; Olive Oil; Champagne; Mushrooms; Heavy Whipping Cream",
food_aoxaf73b3o0igebpj6wjga6kqhco,Strawberry Champagne,Generic meals,Champagne; Strawberries,
food_ax1n26waalpd9cbc64bjob7pw6hg,Champagne Jelly,Generic meals,Champagne; gelatine; caster sugar; blueberries,
food_b4va8u0bb6pf74akh2rtcb3llna9,Champagne Punch,Generic meals,champagne; simple syrup; orange juice; blueberries; raspberries; orange; ice,
food_a4j8wm8ayflf13b45t3c3bk9w4ek,Champagne Sangria,Generic meals,mint leaves; Champagne; orange juice; lemon; lime; strawberries; ice; sugar,
food_bw7gtgxbnn7nbwa62ppwpar9ljc1,"Champagne Cotton Candy, Champagne",Packaged foods,SUGAR; ARTIFICIAL & NATURAL FLAVOR.,
food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png
food_bba727vaimolf0b8stgoibx7ujei,Champagne Cake,Generic meals,flour; baking powder; salt; butter; sugar; eggs; vanilla extract; champagne; powdered sugar,
food_a6mj2obbqy38soat01vrxaqnvvet,Champagne Cupcakes,Generic meals,butter; sugar; eggs; champagne; plain yogurt; flour; baking powder; salt; powdered sugar,
food_aj3tbbpbl068bhagn76uubtzyzyv,Champagne Vinegar,Packaged foods,CALIFORNIA CHAMPAGNE WINE VINEGAR; FRESH TARRAGON.,
food_alhr8gebycc7hpaqsgbepbd3ee56,Mock Champagne,Generic meals,Ginger Ale; Pineapple Juice; Grape Juice,
food_bw7gtgxbnn7nbwa62ppwpar9ljc1,"Champagne Cotton Candy, Champagne",Packaged foods,SUGAR; ARTIFICIAL & NATURAL FLAVOR.,
food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png
food_anrtk55a3aac9uactv3wlanz1m02,Champagne Cocktail,Generic meals,granulated sugar; bitters; white wine; lemon zest,
food_bn5z4vraxn7fygbgnnvo2b8znzlo,Champagne Mojitos,Generic meals,mint leaves; thai basil; sugar; limes; rum; cava,
food_ae2tdo7br8zgwba9qnmlzbjoqnsw,Champagne Oranges,Generic meals,orange marmalade; sugar; navel oranges; grape juice; almonds; mint,
food_aollv8iaefkxkyafd4k1cbbiqyjx,Champagne Risotto,Generic meals,Chicken stock; shallots; garlic; unsalted butter; olive oil; Arborio rice; sparkling wine; Parmesan; heavy cream; ground pepper; sea salt; truffle; oil,
food_aok8zwdag4ln4qb7y5wwnajrjonf,Pomegranate Champagne Cocktail,Generic meals,pomegranate; pomegranate juice; champagne; mint,
food_arm45f0b83ph5jalnz7e1ao3xb34,Strawberry Champagne Punch,Generic meals,champagne; ginger ale; frozen strawberries,
food_bw6h0jcafh4z10bq31ikqbe2lyax,Raspberry Champagne Cocktail,Generic meals,Mint; Raspberries; Ginger ale; champagne; Rum,
food_bdm6lslbci26h1a6g1htpasvsibs,Peach Champagne Punch,Generic meals,club soda; champagne; peach brandy; peaches,
food_b3eibswalkijvwa4sk5t5aoop5q9,Champagne Vinaigrette,Fast foods,,
food_byygxo3acjnmqgb4z7wboby53zqb,Champagne Vinaigrette,Fast foods,,
food_abm2h3wa7igqm2as31icebhn3wr4,Champagne and Raspberry Jellies,Generic meals,sugar; Orange juice; gelatin; Champagne; Raspberries; Lemon balm,
food_ao46dlja1e81j4b12kru1bbd5gtz,Watermelon-Champagne Cocktail,Generic meals,seedless watermelon; mint leaves; vodka; triple sec; lime juice; champagne,
food_aj3tbbpbl068bhagn76uubtzyzyv,Champagne Vinegar,Packaged foods,CALIFORNIA CHAMPAGNE WINE VINEGAR; FRESH TARRAGON.,
food_a4qy9wmaskw2ygaf4d2mjbsoolqa,Strawberry Champagne Cupcakes,Generic meals,Butter; Sugar; All-purpose Flour; Baking Soda; Salt; Champagne; Egg Whites; Strawberries; Powdered Sugar; Whipping Cream,
food_bywvoj9av4e6peayrxpifaazavv5,Champagne Jello Shots,Generic meals,champagne; gelatin; sugar,
food_b48c55sagj89z4afsne5dar76h4x,Champagne Vinegar,Packaged foods,CHAMPAGNE VINEGAR DILUTED WITH WATER TO 7% ACIDITY (70 GRAIN); POTASSIUM METABISULFITE (PRESERVATIVE).,https://www.edamam.com/food-img/ad8/ad8c8d6ba8216b73e2998d94959b25a9.jpg
food_af2c35yauxk340avrzzcibw3r7ml,Sensual Chicken With Champagne,Generic meals,chicken breasts; tomato paste; fresh thyme; parsley; olive oil; champagne; salt; sweet onion; button mushrooms; baby carrots; garlic; sweet paprika; flour,
food_b82imswbu3swh4aq7l2axawx9p2c,Cranberry Champagne Cocktail,Generic meals,champagne; cranberry juice; liqueur,
food_agouninac32hqvautadshbgtplsu,"Champagne Organic Wine Vinegar, Champagne",Packaged foods,ORGANIC VINEGAR.,
food_bezuaena0318aba7wbgadb62jetf,Champagne Shrimp and Pasta,Generic meals,angel hair pasta; extra virgin olive oil; mushrooms; shrimp; champagne; salt; shallots; plum tomatoes; heavy cream; dried parsley; garlic; capers; parmesan cheese,
food_ar1bfijb7vp3srbs0oun8bir0onc,Pink Champagne Cupcakes,Generic meals,unsalted butter; white sugar; eggs; plain greek yogurt; vanilla extract; all-purpose flour; baking powder; baking soda; salt; champagne; powdered sugar; food coloring,
food_amn1r16ayshhcubjvagdlbspqq0a,Pomegranate Champagne Punch,Generic meals,pomegranate juice; pear nectar; liqueur; Champagne,
food_b4p9x04babtn71buqcrn8ap8nld8,Strawberry Champagne Cocktail,Generic meals,strawberry; vanilla extract; lemon juice; sugar; champagne,
food_asi64hyamebk2sa07yp29a0vpwob,Champagne Vinaigrette,Packaged foods,WATER; SOY BEAN OIL; COOKING CHAMPAGNE WINE (CONTAINS SULFITES); CHAMPAGNE VINEGAR; HONEY; SUGAR; EXTRA VIRGIN OLIVE OIL; CONTAINS LESS THAN 2% SALT; DIJON MUSTARD (WATER; MUSTARD SEED DISTILLED VINEGAR; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; AND SPICES); ORANGE JUICE CONCENTRATE; SPICE; XANTHAN GUM; POTASSIUM SORBATE (PRESERVATIVE); BETA-CAROTENE (COLOR).,
food_bc2y7xdavl3xqjbg5vjqxa4r9zvg,Champagne Vinaigrette,Fast foods,,
food_b8xgvtwbnkrgurbkk47dwbezyil3,Champagne Vinaigrette,Fast foods,,
food_bd062fla4yotnubcjwyskanf5a7x,Lemon Champagne Cocktail,Generic meals,champagne; Twist of lemon; granulated sugar; lemon juice,
food_al1e1oja7k0xqjbeaemrqa9lbtyk,Champagne Vinegar,Packaged foods,CHAMPAGNE VINEGAR; WATER.,
food_bb0nrsgbser5g4ac2enxib1deyh8,Champagne Mustard,Packaged foods,DIJON MUSTARD (VINEGAR; WATER; MUSTARD SEED; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; SPICES); HONEY; PURE CANE SUGAR; MAPLE SYRUP; CHAMPAGNE; CURRY POWDER; SPICES.,https://www.edamam.com/food-img/775/775b39c0b0da1f6c74996da8fa258cdd.jpg
food_b1gkvtpaf5vo0iapz7w9vb4yo0eh,Berries in Champagne Jelly,Generic meals,gelatin; water; sugar; Champagne; grape juice; raspberries; fresh blueberries; blackberries,
food_bsad4slatcovbzbd76pi1a8n8c4i,Strawberry and Champagne Ice,Generic meals,sugar; water; strawberries; light corn syrup; lemon juice; vanilla extract; Champagne; mint,
food_b1btqlma8hwe24a0glfrjad5z56e,Pink Champagne Cake,Generic meals,white cake mix; champagne; vegetable oil; eggs; food coloring; vanilla extract; butter; powdered sugar,
food_bl0nzo3am47xzcbnqs1aladohgoy,Raspberry Champagne Cupcakes,Generic meals,baking soda; salt; champagne; eggs; flour; baking powder; sour cream; butter; sugar; heavy cream; raspberry jam; powdered sugar,
food_ax8pkydaq1xobwbr7tu4rb1qg0hi,"Chocolates, Champagne",Packaged foods,INGREDIENTS CONSIST OF MILK CHOCOLATE {SUGAR; WHOLE MILK; COCOA BUTTER; CHOCOLATE; SOY LECITHIN (AN EMULSIFIER); VANILLIN (AN ARTIFICIAL FLAVOR)}; SUGAR; INVERT SUGAR; NATURAL CHAMPAGNE FLAVOR; SALT; INVERTASE (AN ENZYME); NATURAL FLAVOR; FD&C COLOR (YELLOW #5) AND SODIUM BENZOATE (PRESERVATIVE).,
food_arm1rlyb5v81v6arurmjqb6xiy9t,"Light Champagne Dressing, Light Champagne",Packaged foods,WATER; SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WHITE WINE VINEGAR; SALT; SUGAR; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; SODIUM BENZOATE AND POTASSIUM SORBATE ADDED AS PRESERVATIVES; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; TAMARIND; NATURAL FLAVORS.,https://www.edamam.com/food-img/ee0/ee0475f45bf2e9ac0777092afd7497ae.jpg
food_bzis50ravf32wxazm93eqa8wt2vt,"Strawberry Champagne Flavored Vinaigrette, Strawberry Champagne",Packaged foods,INGREDIENTS: WATER CANOLA OIL; CHAMPAGNE VINEGAR; STRAWBERRY PUREE; CANE SUGAR EXTRA VIRGIN OLIVE OIL; SEA SALT; LEMON JUICE CONCENTRATE; ONION POWDER; GARLIC POWDER; NATURAL STRAWBERRY FLAVOR; FRUIT AND VEGETABLE JUICES (FOR COLOR); XANTHAN GUM.,
